nickName;firstName;lastName;gender;nationality;instagramLink;stravaLink;garminLink;bikeBrand;hillsScore;sprintScore;mountainScore;ittScore;gcScore;classicScore;downHillScore;cobblesScore;rankingPoint;weight;height;birth;team
Axel  Laurance;Axel; Laurance;male;France;https://instagram.com/lauranceaxel;https://www.strava.com/pros/axel-laurance-14553572?hl=fr-FR;null;null;642;108;208;42;260;366;null;null;208;66;179;2001-04-13;INEOS Grenadiers
Senne  Leysen;Senne; Leysen;male;Belgium;https://www.instagram.com/senneleysen/?hl=nl;https://www.strava.com/athletes/2922866;null;null;46;31;6;141;185;91;null;null;1946;78;190;1996-03-18;null
Xandro  Meurisse;Xandro; Meurisse;male;Belgium;https://www.instagram.com/xandro_meurisse/;https://www.strava.com/pros/10545603;null;null;985;171;758;148;1375;1149;null;null;1562;71;181;1992-01-31;Alpecin - Deceuninck
Jason  Osborne;Jason; Osborne;male;Germany;https://www.instagram.com/jasonosbornerowing/?hl=nl;https://www.strava.com/pros/jason-osborne-15310584;null;null;82;0;108;80;148;40;null;null;2377;70;178;1994-03-20;null
Jasper  Philipsen;Jasper; Philipsen;male;Belgium;https://www.instagram.com/jasperphilipsen/;https://www.strava.com/pros/1727324;null;null;2278;5424;185;154;569;4627;null;null;116;75;176;1998-03-02;Alpecin - Deceuninck
Edward  Planckaert;Edward; Planckaert;male;Belgium;https://www.instagram.com/edwardplanckaert/;https://www.strava.com/pros/edward-planckaert-31541211?hl=fr-FR;null;null;231;360;54;18;187;527;null;null;1065;71;178;1995-02-01;Alpecin - Deceuninck
Jensen  Plowright;Jensen; Plowright;male;Australia;https://instagram.com/jensen_plowright17;https://www.strava.com/athletes/29260396;null;null;91;563;0;0;41;137;null;null;376;78;177;2000-05-15;Alpecin - Deceuninck
Jonas  Rickaert;Jonas; Rickaert;male;Belgium;https://www.instagram.com/jonasrickaert/;https://www.strava.com/pros/2738100;null;null;70;584;2;120;193;783;null;null;1376;88;187;1994-02-07;Alpecin - Deceuninck
Oscar  Riesebeek;Oscar; Riesebeek;male;Netherlands;https://www.instagram.com/oscarriesebeek/;https://www.strava.com/pros/1126609;null;null;286;235;150;108;466;600;null;null;827;78;191;1992-12-23;Alpecin - Deceuninck
Ramon  Sinkeldam;Ramon; Sinkeldam;male;Netherlands;https://www.instagram.com/ramonsinkeldam;https://strava.com/athletes/rsinkeldam;null;null;90;164;1;72;578;898;null;null;1889;77;193;1989-02-09;null
