nickName;firstName;lastName;gender;nationality;instagramLink;stravaLink;garminLink;bikeBrand;hillsScore;sprintScore;mountainScore;ittScore;gcScore;classicScore;downHillScore;cobblesScore;rankingPoint;weight;height;birth;team
Dario  Cataldo;Dario; Cataldo;male;Italy;https://www.instagram.com/dariocataldo;null;null;null;602;26;1706;1171;1660;665;null;null;1643;64;175;1985-03-17;null
Giulio  Ciccone;Giulio; Ciccone;male;Italy;https://www.instagram.com/ciccone_giulio/;https://www.strava.com/pros/giulio-ciccone-29028250;null;null;912;2;3316;90;1523;1296;null;null;871;58;176;1994-12-20;Lidl - Trek
Tim  Declercq;Tim; Declercq;male;Belgium;https://www.instagram.com/tim_declercq/;https://strava.com/athletes/tdeclercq;null;null;90;137;52;26;475;750;null;null;1892;78;190;1989-03-21;Lidl - Trek
Fabio  Felline;Fabio; Felline;male;Italy;https://www.instagram.com/fabio_felline;https://www.strava.com/athletes/15726977;null;null;1285;98;1294;1243;1457;1774;null;null;780;68;175;1990-03-29;null
Tao  Geoghegan Hart;Tao; Geoghegan Hart;male;Great Britain;https://www.instagram.com/taogeogheganhart;https://www.strava.com/pros/3264865;null;null;586;44;2052;893;2574;261;null;null;829;65;183;1995-03-30;Lidl - Trek
Ryan  Gibbons;Ryan; Gibbons;male;South Africa;https://www.instagram.com/ryangibbons23;https://www.strava.com/athletes/12772912;null;null;1004;520;320;411;513;926;null;null;1450;70;182;1994-08-13;Lidl - Trek
Daan  Hoole;Daan; Hoole;male;Netherlands;https://www.instagram.com/daan_hoole/;https://www.strava.com/pros/daan_hoole;null;null;80;47;16;715;116;193;null;null;588;814;198;1999-02-22;Lidl - Trek
Alex  Kirsch;Alex; Kirsch;male;Luxembourg;https://www.instagram.com/kirschalex92/;https://www.strava.com/pros/2590526;null;null;462;327;127;705;491;617;null;null;278;78;194;1992-06-12;Lidl - Trek
Patrick  Konrad;Patrick; Konrad;male;Austria;https://www.instagram.com/patrickonrad;https://strava.com/athletes/patrick_konrad;null;null;1592;87;2646;452;2492;1466;null;null;1616;64;181;1991-10-13;Lidl - Trek
Juan Pedro  López;Juan;Pedro  López;male;Spain;https://www.instagram.com/juanpelopez97/;https://www.strava.com/athletes/3098895?hl=es-419;null;null;81;2;690;17;878;59;null;null;250;60;170;1997-07-31;Lidl - Trek
Jonathan  Milan;Jonathan; Milan;male;Italy;https://www.instagram.com/_jonathanmilan_/;https://www.strava.com/athletes/39026315;null;null;986;930;46;265;105;386;null;null;905;84;193;2000-10-01;Lidl - Trek
Bauke  Mollema;Bauke; Mollema;male;Netherlands;https://www.instagram.com/baukemollema;null;null;null;4064;179;7428;2074;5958;5208;null;null;196;64;184;1986-11-26;Lidl - Trek
Jacopo  Mosca;Jacopo; Mosca;male;Italy;https://www.instagram.com/jacoposun/;https://www.strava.com/athletes/2634970?hl=fr-FR;null;null;588;147;238;69;543;278;null;null;1891;65;173;1993-08-29;Lidl - Trek
Thibau  Nys;Thibau; Nys;male;Belgium;https://www.instagram.com/thibau_nys/?hl=nl;https://www.strava.com/athletes/13875441;null;null;630;196;430;56;304;296;null;null;1648;64;176;2002-11-12;Lidl - Trek
Sam  Oomen;Sam; Oomen;male;Netherlands;https://www.instagram.com/samoomen95/;null;null;null;662;20;1298;197;1855;486;null;null;453;65;177;1995-08-15;Lidl - Trek
Mads  Pedersen;Mads; Pedersen;male;Denmark;https://www.instagram.com/pedersen__mads;https://www.strava.com/athletes/30350488;null;null;2722;2462;340;1697;1398;3782;null;null;163;70;180;1995-12-18;Lidl - Trek
Quinn  Simmons;Quinn; Simmons;male;United States;https://www.instagram.com/skin.quimmons/;https://www.strava.com/pros/4375151;null;null;498;87;398;38;474;459;null;null;251;72;185;2001-05-08;Lidl - Trek
Mattias  Skjelmose;Mattias; Skjelmose;male;Denmark;https://www.instagram.com/skjelmose_/;null;null;null;1223;119;1979;1038;2105;1031;null;null;745;65;180;2000-09-26;Lidl - Trek
Toms  Skujiņš;Toms; Skujiņš;male;Latvia;https://www.instagram.com/tomashuuns;https://www.strava.com/pros/2413208?hl=fr-FR;null;null;1258;92;1260;350;937;2683;null;null;1303;70;181;1991-06-15;Lidl - Trek
Jasper  Stuyven;Jasper; Stuyven;male;Belgium;https://www.instagram.com/jasperstuyven;https://www.strava.com/pros/288335;null;null;3266;1600;697;284;1309;4613;null;null;496;78;187;1992-04-17;Lidl - Trek
Natnael  Tesfatsion;Natnael; Tesfatsion;male;Eritrea;https://www.instagram.com/natnael_tesfazion/;https://analytics.strava.com/pros/natnael-tesfatsion-90995462;null;null;788;215;470;5;567;571;null;null;2041;60;175;1999-05-23;Movistar Team
Edward  Theuns;Edward; Theuns;male;Belgium;https://www.instagram.com/edwardtheuns;https://www.strava.com/pros/1668485;null;null;996;1531;26;131;666;2592;null;null;983;72;183;1991-04-30;Lidl - Trek
Mathias  Vacek;Mathias; Vacek;male;Czech Republic;https://www.instagram.com/mathias.vacek/;null;null;null;263;168;162;554;372;389;null;null;68;75;188;2002-06-12;Lidl - Trek
Otto  Vergaerde;Otto; Vergaerde;male;Belgium;https://www.instagram.com/ottovergaerde/?hl=nl;https://www.strava.com/pros/3123001;null;null;71;60;18;12;152;209;null;null;2080;74;181;1994-07-15;Lidl - Trek
Carlos  Verona;Carlos; Verona;male;Spain;https://www.instagram.com/verona92;http://www.strava.com/pros/1405137;null;null;344;6;1162;21;1471;462;null;null;335;68;186;1992-11-04;Lidl - Trek
Andrey  Amador;Andrey; Amador;male;Costa Rica;https://www.instagram.com/andrey_amador/;https://www.strava.com/athletes/1593769?hl=es-419;null;null;566;54;1046;1228;1518;671;null;null;1890;73;180;1986-08-29;null
Markel  Beloki;Markel; Beloki;male;Spain;https://www.instagram.com/markelbeloki/;https://www.strava.com/athletes/24287973;null;null;6;0;6;25;15;0;null;null;1037;;183;2005-07-27;EF Education - EasyPost
Alberto  Bettiol;Alberto; Bettiol;male;Italy;https://www.instagram.com/albertobettio;https://strava.com/athletes/alberto_bettiol;null;null;2080;140;958;1000;946;2442;null;null;869;69;180;1993-10-29;XDS Astana Team
Stefan  Bissegger;Stefan; Bissegger;male;Switzerland;https://www.instagram.com/stefanbissegger;https://www.strava.com/athletes/4671192;null;null;375;172;18;2232;232;327;null;null;2143;78;181;1998-09-13;Decathlon AG2R La Mondiale Team
Richard  Carapaz;Richard; Carapaz;male;Ecuador;https://www.instagram.com/richardcarapaz/;https://www.strava.com/athletes/15104335;null;null;1520;88;4410;551;3706;1247;null;null;240;62;170;1993-05-29;EF Education - EasyPost
Simon  Carr;Simon; Carr;male;Great Britain;https://www.instagram.com/scarr.bike/;https://www.strava.com/athletes/3611828;null;null;84;0;444;91;289;349;null;null;518;63;183;1998-08-29;Cofidis
Hugh  Carthy;Hugh; Carthy;male;Great Britain;https://www.instagram.com/hughcarthy/;null;null;null;469;1;2318;407;2664;270;null;null;1323;69;193;1994-07-09;EF Education - EasyPost
Esteban  Chaves;Esteban; Chaves;male;Colombia;https://www.instagram.com/estebanchavesbta/;https://www.strava.com/athletes/4119801;null;null;1368;44;3770;225;3327;1211;null;null;515;55;164;1990-01-17;EF Education - EasyPost
Rui  Costa;Rui; Costa;male;Portugal;https://www.instagram.com/ruicostacyclist;https://www.strava.com/athletes/63456809;null;null;2674;97;5342;1621;6226;4356;null;null;132;69;182;1986-10-05;EF Education - EasyPost
Stefan de Bod;Stefan;de Bod;male;South Africa;https://www.instagram.com/stefan.debod/;https://www.strava.com/athletes/sdebod;null;null;82;44;230;711;456;174;null;null;1233;66;183;1996-11-17;null
Owain  Doull;Owain; Doull;male;Great Britain;https://www.instagram.com/owaindoull;https://www.strava.com/athletes/odoull;null;null;430;110;117;265;513;697;null;null;546;71;181;1993-05-02;EF Education - EasyPost
Ben  Healy;Ben; Healy;male;Ireland;https://www.instagram.com/benhealy._/;https://www.strava.com/athletes/1754389;null;null;392;40;604;424;482;922;null;null;1718;65;175;2000-09-11;EF Education - EasyPost
Mikkel Frølich  Honoré;Mikkel;Frølich  Honoré;male;Denmark;https://www.instagram.com/mikkelhonore/;https://www.strava.com/athletes/270912;null;null;880;82;554;133;550;1027;null;null;257;68;185;1997-01-21;EF Education - EasyPost
Lachlan  Morton;Lachlan; Morton;male;Australia;https://www.instagram.com/lachlanmorton/;https://www.strava.com/pros/kpush?hl=fr-FR;null;null;191;28;357;132;798;50;null;null;null;62;180;1992-01-02;null
Lukas  Nerurkar;Lukas; Nerurkar;male;Great Britain;https://www.instagram.com/lukas.nerurkar/;https://www.strava.com/athletes/9967434;null;null;314;0;126;12;115;171;null;null;210;;177;2003-11-14;EF Education - EasyPost
Yukiya  Arashiro;Yukiya; Arashiro;male;Japan;https://www.instagram.com/yukiyaarashiro/;https://www.strava.com/athletes/12337203;null;null;413;142;246;228;1192;1733;null;null;1431;64;170;1984-09-22;Toscana Factory Team Vini Fantini
Nikias  Arndt;Nikias; Arndt;male;Germany;https://www.instagram.com/nikiasarndt;https://www.strava.com/athletes/29689962;null;null;1651;404;467;1018;790;895;null;null;1362;775;187;1991-11-18;Bahrain - Victorious
Phil  Bauhaus;Phil; Bauhaus;male;Germany;https://www.instagram.com/philbauhaus94;https://strava.com/athletes/pbauhaus;null;null;1569;2058;0;1;256;812;null;null;852;71;184;1994-07-08;Bahrain - Victorious
Pello  Bilbao;Pello; Bilbao;male;Spain;https://www.instagram.com/pello.bilbao/;null;null;null;2088;56;4612;1075;4396;1525;null;null;506;60;174;1990-02-25;Bahrain - Victorious
Alberto  Bruttomesso;Alberto; Bruttomesso;male;Italy;https://www.instagram.com/alberto__brt/;https://www.strava.com/pros/24261005;null;null;137;132;22;27;6;31;null;null;1224;;179;2003-10-30;Bahrain - Victorious
Santiago  Buitrago;Santiago; Buitrago;male;Colombia;https://www.instagram.com/santiagobuitrago09/?hl=es;https://www.strava.com/athletes/7310716?hl=fr-FR;null;null;577;43;1610;190;1378;373;null;null;1860;59;174;1999-09-26;Bahrain - Victorious
Nicolò  Buratti;Nicolò; Buratti;male;Italy;https://www.instagram.com/burattinicolo/?hl=it;https://www.strava.com/athletes/27539655;null;null;120;76;22;36;38;111;null;null;2132;;;2001-07-07;Bahrain - Victorious
Damiano  Caruso;Damiano; Caruso;male;Italy;https://www.instagram.com/damiacar;https://strava.com/athletes/damiano_caruso;null;null;1576;70;4230;1310;4523;835;null;null;746;67;179;1987-10-12;Bahrain - Victorious
Matevž  Govekar;Matevž; Govekar;male;Slovenia;https://www.instagram.com/matevz111;https://www.strava.com/athletes/13732354;null;null;364;254;84;132;45;171;null;null;484;73;180;2000-04-17;Bahrain - Victorious
Kamil  Gradek;Kamil; Gradek;male;Poland;https://www.instagram.com/kamil_gradek/;https://www.strava.com/athletes/2450702?hl=fr-FR;null;null;37;78;8;719;568;206;null;null;1173;81;194;1990-09-17;Bahrain - Victorious
Jack  Haig;Jack; Haig;male;Australia;https://www.instagram.com/jack_haig;https://www.strava.com/pros/283726;null;null;1034;27;2444;313;2959;661;null;null;1540;67;190;1993-09-06;Bahrain - Victorious
Rainer  Kepplinger;Rainer; Kepplinger;male;Austria;https://www.instagram.com/rainer_kepplinger/;https://www.strava.com/athletes/24680294;null;null;50;0;82;161;229;10;null;null;955;70;179;1997-08-19;Bahrain - Victorious
Ahmed  Madan;Ahmed; Madan;male;Bahrain;https://www.instagram.com/ahmed_madan1/;https://www.strava.com/athletes/22710584;null;null;0;0;0;76;5;37;null;null;1175;65;176;2000-08-25;null
Fran  Miholjević;Fran; Miholjević;male;Croatia;https://www.instagram.com/fran.miholjevic/p/BlfypcGFZLs/;https://www.strava.com/athletes/14691945?hl=fr-FR;null;null;62;4;30;142;74;75;null;null;3091;72;189;2002-08-02;Bahrain - Victorious
Matej  Mohorič;Matej; Mohorič;male;Slovenia;https://www.instagram.com/matmohoric;https://www.strava.com/pros/4040441;null;null;2789;570;1610;352;2261;2947;null;null;322;72;186;1994-10-19;Bahrain - Victorious
Andrea  Pasqualon;Andrea; Pasqualon;male;Italy;https://www.instagram.com/andreapasqualon;https://www.strava.com/athletes/28803734;null;null;1568;1057;360;74;687;2779;null;null;1017;68;174;1988-01-02;Bahrain - Victorious
Finlay  Pickering;Finlay; Pickering;male;Great Britain;https://www.instagram.com/finlay_pickering/;https://www.strava.com/athletes/3607912;null;null;10;0;56;6;51;0;null;null;1296;55;174;2003-01-27;Bahrain - Victorious
Wout  Poels;Wout; Poels;male;Netherlands;https://www.instagram.com/wout.poels;https://www.strava.com/athletes/37745230;null;null;1724;32;4817;916;4890;1038;null;null;425;66;186;1987-10-01;XDS Astana Team
Johan  Price-Pejtersen;Johan; Price-Pejtersen;male;Denmark;https://www.instagram.com/johanprice99/;https://www.strava.com/athletes/13150937;null;null;0;17;0;588;48;10;null;null;726;77;196;1999-05-26;Alpecin - Deceuninck
Dušan  Rajović;Dušan; Rajović;male;Serbia;https://www.instagram.com/rajovicdusan/;https://www.strava.com/athletes/8151491;null;null;200;652;10;291;34;229;null;null;892;74;183;1997-11-19;Toscana Factory Team Vini Fantini
Cameron  Scott;Cameron; Scott;male;Australia;https://www.instagram.com/cameroonscott/;https://www.strava.com/athletes/8919177;null;null;12;228;0;122;25;40;null;null;1251;80;183;1998-01-04;CCACHE x BODYWRAP
Jasha  Sütterlin;Jasha; Sütterlin;male;Germany;https://www.instagram.com/jasha_suetterlin/;https://www.strava.com/pros/2582117;null;null;418;106;73;1083;717;340;null;null;1708;78;184;1992-11-04;Team Jayco AlUla
Antonio  Tiberi;Antonio; Tiberi;male;Italy;https://www.instagram.com/antonio.tiberi01/;https://www.strava.com/athletes/13764349;null;null;584;2;947;636;931;158;null;null;38;62;182;2001-06-24;Bahrain - Victorious
Torstein  Træen;Torstein; Træen;male;Norway;https://www.instagram.com/torsteintren/;https://www.strava.com/athletes/2674561?hl=fr-FR;null;null;154;11;403;17;674;116;null;null;677;63;181;1995-07-16;Bahrain - Victorious
Łukasz  Wiśniowski;Łukasz; Wiśniowski;male;Poland;https://www.instagram.com/lukaszwisniowski;https://www.strava.com/pros/3756850;null;null;203;85;30;307;305;576;null;null;1106;78;191;1991-12-07;null
Fred  Wright;Fred; Wright;male;Great Britain;https://www.instagram.com/fred.w/;https://www.strava.com/pros/fred-wright-25495602;null;null;1151;156;348;415;334;510;null;null;224;75;184;1999-06-13;Bahrain - Victorious
Edoardo  Zambanini;Edoardo; Zambanini;male;Italy;https://www.instagram.com/edoardozambanini/;https://www.strava.com/pros/11149986;null;null;388;61;363;26;419;310;null;null;113;62;181;2001-04-21;Bahrain - Victorious
Alex  Aranburu;Alex; Aranburu;male;Spain;https://www.instagram.com/aranburualex95;https://www.strava.com/pros/7094043;null;null;2224;376;1464;301;822;2069;null;null;1178;63;178;1995-09-19;Cofidis
Jorge  Arcas;Jorge; Arcas;male;Spain;https://www.instagram.com/arcas92/;https://www.strava.com/pros/2276607;null;null;104;17;84;49;245;158;null;null;829;68;187;1992-07-08;Movistar Team
Jon  Barrenetxea;Jon; Barrenetxea;male;Spain;https://www.instagram.com/jonbarrenetxea_/;https://www.strava.com/pros/3028726;null;null;274;20;102;5;116;176;null;null;392;74;188;2000-04-20;Movistar Team
Will  Barta;Will; Barta;male;United States;https://www.instagram.com/will_barta/;https://strava.com/athletes/wbarta;null;null;314;0;166;679;456;68;null;null;538;61;180;1996-01-04;Movistar Team
Carlos  Canal;Carlos; Canal;male;Spain;https://www.instagram.com/carloscanalblanco/;https://www.strava.com/pros/carlos-canal-blanco-10941882;null;null;424;132;131;104;210;293;null;null;239;70;179;2001-06-28;Movistar Team
Davide  Cimolai;Davide; Cimolai;male;Italy;https://www.instagram.com/cimo89;https://www.strava.com/pros/davidecimolai;null;null;1472;1018;141;6;595;1182;null;null;1473;70;181;1989-08-13;Movistar Team
Davide  Formolo;Davide; Formolo;male;Italy;https://www.instagram.com/davideformolo/;https://strava.com/athletes/davide_formolo;null;null;1302;11;2664;166;2372;1607;null;null;1088;62;182;1992-10-25;Movistar Team
Fernando  Gaviria;Fernando; Gaviria;male;Colombia;https://www.instagram.com/fernandogaviriarendon/;https://www.strava.com/pros/fernando-gaviria-rendon-24644516;null;null;1844;3864;116;85;211;1835;null;null;255;71;181;1994-08-19;Movistar Team
Ruben  Guerreiro;Ruben; Guerreiro;male;Portugal;https://www.instagram.com/rubenguerreiro94/;https://www.strava.com/pros/2289445;null;null;1200;111;1652;36;1507;724;null;null;1683;65;178;1994-07-06;Movistar Team
Johan  Jacobs;Johan; Jacobs;male;Switzerland;https://www.instagram.com/jacobsjohan/;https://www.strava.com/pros/461374;null;null;44;52;13;13;76;230;null;null;896;78;192;1997-03-01;Groupama - FDJ
Oier  Lazkano;Oier; Lazkano;male;Spain;https://www.instagram.com/lazkanooier/;https://www.strava.com/athletes/9567228;null;null;366;66;244;195;436;439;null;null;2135;74;189;1999-11-07;Red Bull - BORA - hansgrohe
Enric  Mas;Enric; Mas;male;Spain;https://www.instagram.com/enric_mas_/;https://www.strava.com/pros/28808807;null;null;1276;13;5392;666;4533;962;null;null;517;61;177;1995-01-07;Movistar Team
Lorenzo  Milesi;Lorenzo; Milesi;male;Italy;https://www.instagram.com/lore__mile/;https://www.strava.com/athletes/33591061?hl=fr-FR;null;null;118;2;35;240;73;119;null;null;515;70;180;2002-03-19;Movistar Team
Manlio  Moro;Manlio; Moro;male;Italy;https://www.instagram.com/_manlio_/;https://www.strava.com/pros/27434003;null;null;3;4;0;3;5;15;null;null;1222;81;190;2002-03-17;Movistar Team
Gregor  Mühlberger;Gregor; Mühlberger;male;Austria;https://www.instagram.com/gregor_muehlberger;https://www.strava.com/athletes/20676777;null;null;454;74;931;239;791;838;null;null;1836;64;180;1994-04-04;Movistar Team
Mathias  Norsgaard;Mathias; Norsgaard;male;Denmark;https://www.instagram.com/mathias_norsgaard/;https://www.strava.com/pros/3983783;null;null;3;121;2;483;96;212;null;null;869;81;202;1997-05-05;Movistar Team
Nelson  Oliveira;Nelson; Oliveira;male;Portugal;https://www.instagram.com/nelsonoliveira_89/;https://www.strava.com/pros/1366105;null;null;878;24;544;3770;1199;610;null;null;2030;67;180;1989-03-06;Movistar Team
Antonio  Pedrero;Antonio; Pedrero;male;Spain;https://www.instagram.com/pedrero91;null;null;null;223;2;819;14;791;186;null;null;1670;60;177;1991-10-23;Movistar Team
Nairo  Quintana;Nairo; Quintana;male;Colombia;https://www.instagram.com/nairoquincoficial/;null;null;null;1932;34;7860;1274;9391;805;null;null;71;59;167;1990-02-04;Movistar Team
Vinícius  Rangel;Vinícius; Rangel;male;Brazil;https://www.instagram.com/viniciusrangelcosta;https://www.strava.com/athletes/14944514;null;null;0;2;0;20;10;104;null;null;2521;64;178;2001-05-26;null
Iván  Romeo;Iván; Romeo;male;Spain;https://www.instagram.com/_ivanromeo_/;https://www.strava.com/athletes/17618346;null;null;36;55;16;194;98;146;null;null;288;75;193;2003-08-16;Movistar Team
Javier  Romo;Javier; Romo;male;Spain;https://www.instagram.com/javierromo_/;https://www.strava.com/athletes/21190846;null;null;123;12;265;54;376;103;null;null;244;70;184;1999-01-06;Movistar Team
Einer  Rubio;Einer; Rubio;male;Colombia;https://www.instagram.com/rubio_einer/;https://www.strava.com/athletes/13090041;null;null;295;6;1413;61;1307;150;null;null;122;56;164;1998-02-22;Movistar Team
Sergio  Samitier;Sergio; Samitier;male;Spain;https://www.instagram.com/sergiosamitier;https://www.strava.com/pros/3804129;null;null;92;0;148;0;292;99;null;null;1310;63;181;1995-08-31;Cofidis
Pelayo  Sánchez;Pelayo; Sánchez;male;Spain;https://www.instagram.com/pelayo_mayo/;null;null;null;224;0;432;68;225;202;null;null;160;62;177;2000-03-27;Movistar Team
Gonzalo  Serrano;Gonzalo; Serrano;male;Spain;https://www.instagram.com/serrano.gs/;https://www.strava.com/pros/3948047;null;null;878;150;398;58;478;685;null;null;801;65;177;1994-08-17;Movistar Team
Iván Ramiro  Sosa;Iván;Ramiro  Sosa;male;Colombia;https://www.instagram.com/ivan_sosa97/;https://www.strava.com/athletes/13590474;null;null;164;4;1114;0;1595;248;null;null;858;52;168;1997-10-31;Equipo Kern Pharma
Albert  Torres;Albert; Torres;male;Spain;https://www.instagram.com/alberttorresbarcelo/;https://www.strava.com/athletes/584854;null;null;80;128;27;75;165;179;null;null;757;70;180;1990-04-26;Movistar Team
Roger  Adrià;Roger; Adrià;male;Spain;https://www.instagram.com/rogeradria_/;https://www.strava.com/athletes/6390713;null;null;597;46;592;43;324;972;null;null;71;64;179;1998-04-18;Red Bull - BORA - hansgrohe
Giovanni  Aleotti;Giovanni; Aleotti;male;Italy;https://www.instagram.com/aleottigio/;https://www.strava.com/athletes/21536765;null;null;406;28;500;73;961;379;null;null;2021;67;180;1999-05-25;Red Bull - BORA - hansgrohe
Cesare  Benedetti;Cesare; Benedetti;male;Poland;https://www.instagram.com/benedetti_cesare;https://www.strava.com/athletes/1326031;null;null;172;16;254;3;498;406;null;null;1205;63;170;1987-08-03;null
Emanuel  Buchmann;Emanuel; Buchmann;male;Germany;https://www.instagram.com/emubuchmann/;https://www.strava.com/pros/2685219;null;null;821;13;2867;233;3155;778;null;null;1440;59;180;1992-11-18;Cofidis
Nico  Denz;Nico; Denz;male;Germany;https://www.instagram.com/nicodenz;https://www.strava.com/pros/3423315;null;null;530;175;218;317;368;436;null;null;1548;71;183;1994-02-15;Red Bull - BORA - hansgrohe
Patrick  Gamper;Patrick; Gamper;male;Austria;https://www.instagram.com/patrick_gamper/;https://www.strava.com/athletes/20053244?hl=fr-FR;null;null;81;75;19;169;93;203;null;null;1150;80;194;1997-02-18;Team Jayco AlUla
Alexander  Hajek;Alexander; Hajek;male;Austria;https://www.instagram.com/alex_hajek_21/?g=5;https://www.strava.com/athletes/42034489;null;null;97;0;88;15;124;70;null;null;311;55;176;2003-07-19;Red Bull - BORA - hansgrohe
Marco  Haller;Marco; Haller;male;Austria;https://www.instagram.com/mhaller91;https://www.strava.com/athletes/haller_marco;null;null;576;261;88;77;634;1270;null;null;1890;72;178;1991-04-01;Tudor Pro Cycling Team
Emil  Herzog;Emil; Herzog;male;Germany;https://www.instagram.com/emil.herzog/;https://www.strava.com/athletes/32149155;null;null;28;0;18;36;20;65;null;null;722;74;184;2004-10-06;Red Bull - BORA - hansgrohe
Sergio  Higuita;Sergio; Higuita;male;Colombia;https://www.instagram.com/sergioandreshiguita;https://www.strava.com/athletes/35804776;null;null;1267;64;2302;130;2118;1116;null;null;831;57;166;1997-08-01;XDS Astana Team
Jai  Hindley;Jai; Hindley;male;Australia;https://www.instagram.com/jhindley_/;https://www.strava.com/pros/1760759;null;null;732;14;2897;152;3097;460;null;null;741;60;175;1996-05-05;Red Bull - BORA - hansgrohe
Bob  Jungels;Bob; Jungels;male;Luxembourg;https://www.instagram.com/bobjungels/;https://www.strava.com/pros/jungels_bob;null;null;1282;140;1644;2692;2619;1220;null;null;637;70;189;1992-09-22;INEOS Grenadiers
Jonas  Koch;Jonas; Koch;male;Germany;https://www.instagram.com/jonasjoneskoch/;https://www.strava.com/pros/4067146;null;null;662;229;114;36;362;602;null;null;954;75;187;1993-06-25;Red Bull - BORA - hansgrohe
Lennard  Kämna;Lennard; Kämna;male;Germany;https://www.instagram.com/lennardkaemna;https://www.strava.com/pros/27117126;null;null;567;24;1750;778;1028;260;null;null;1456;65;181;1996-09-09;Lidl - Trek
Florian  Lipowitz;Florian; Lipowitz;male;Germany;https://www.instagram.com/lipo.fl/?hl=de;https://www.strava.com/athletes/20814179;null;null;125;0;597;135;640;81;null;null;56;68;181;2000-09-21;Red Bull - BORA - hansgrohe
Luis-Joe  Lührs;Luis-Joe; Lührs;male;Germany;https://www.instagram.com/luis.luehrs/;https://www.strava.com/athletes/22756638;null;null;10;4;2;20;15;26;null;null;1393;66;179;2003-01-20;Decathlon AG2R La Mondiale Development Team
Filip  Maciejuk;Filip; Maciejuk;male;Poland;https://www.instagram.com/filipmaciejuk/;https://www.strava.com/athletes/12685687;null;null;25;37;4;359;213;76;null;null;784;78;190;1999-09-03;Red Bull - BORA - hansgrohe
Daniel  Martinez;Daniel; Martinez;male;Mexico;null;null;null;null;0;0;0;0;0;0;null;null;null;;;1994-05-18;null
Jordi  Meeus;Jordi; Meeus;male;Belgium;https://www.instagram.com/jordimeeus/;https://www.strava.com/pros/meeusj?hl=fr-FR;null;null;697;1556;32;60;86;1814;null;null;1062;80;190;1998-07-01;Red Bull - BORA - hansgrohe
Ryan  Mullen;Ryan; Mullen;male;Ireland;https://www.instagram.com/ryanmullen9;https://www.strava.com/pros/307079;null;null;58;26;0;1307;224;295;null;null;1601;77;189;1994-08-07;Red Bull - BORA - hansgrohe
Anton  Palzer;Anton; Palzer;male;Germany;https://www.instagram.com/antonpalzer;https://www.strava.com/pros/dpalzer;null;null;6;0;18;1;113;8;null;null;1436;62;178;1993-03-11;Red Bull - BORA - hansgrohe
Primož  Roglič;Primož; Roglič;male;Slovenia;https://www.instagram.com/primozroglic/;https://www.strava.com/pros/67384124;null;null;2797;63;7772;5522;7804;1877;null;null;24;65;177;1989-10-29;Red Bull - BORA - hansgrohe
Maximilian  Schachmann;Maximilian; Schachmann;male;Germany;https://www.instagram.com/maximilian_schachmann/;null;null;null;1710;88;1843;1764;1899;1407;null;null;612;71;183;1994-01-09;Soudal Quick-Step
Matteo  Sobrero;Matteo; Sobrero;male;Italy;https://www.instagram.com/matteo_sobrero/;https://www.strava.com/athletes/7181420;null;null;668;31;490;1197;510;242;null;null;413;63;177;1997-05-14;Red Bull - BORA - hansgrohe
Danny van Poppel;Danny;van Poppel;male;Netherlands;https://www.instagram.com/dannyvanpoppel/;https://www.strava.com/athletes/dvanpoppel;null;null;1656;3024;198;435;775;3236;null;null;495;82;184;1993-07-26;Red Bull - BORA - hansgrohe
Aleksandr  Vlasov;Aleksandr; Vlasov;male;Russia;https://www.instagram.com/aleksandr_vlasov/;https://www.strava.com/pros/19916624?hl=fr-FR;null;null;1394;39;3978;932;3613;1438;null;null;489;68;186;1996-04-23;Red Bull - BORA - hansgrohe
Frederik  Wandahl;Frederik; Wandahl;male;Denmark;https://www.instagram.com/frederik_wandahl/;https://www.strava.com/athletes/14070429?hl=fr-FR;null;null;251;7;158;1;224;257;null;null;287;61;178;2001-05-09;Red Bull - BORA - hansgrohe
Sam  Welsford;Sam; Welsford;male;Australia;https://www.instagram.com/samwelsford/;https://www.strava.com/athletes/6238618;null;null;96;1101;0;78;190;531;null;null;1847;79;180;1996-01-19;Red Bull - BORA - hansgrohe
Ben  Zwiehoff;Ben; Zwiehoff;male;Germany;https://www.instagram.com/benzwiehoff/;https://www.strava.com/pros/benzwiehoff?hl=de-DE;null;null;161;6;245;48;623;120;null;null;393;61;182;1994-02-22;Red Bull - BORA - hansgrohe
Andrea  Piccolo;Andrea; Piccolo;male;Italy;https://www.instagram.com/andrea.piccolo01/;https://www.strava.com/athletes/27058708;null;null;268;41;184;44;50;458;null;null;1223;64;181;2001-03-23;null
Neilson  Powless;Neilson; Powless;male;United States;https://www.instagram.com/neilsonpowless/;https://www.strava.com/athletes/npowless;null;null;930;188;1542;853;1504;2029;null;null;939;67;183;1996-09-03;EF Education - EasyPost
Sean  Quinn;Sean; Quinn;male;United States;https://www.instagram.com/seanquinn1_/;https://www.strava.com/athletes/5798962;null;null;249;7;176;98;278;97;null;null;562;67;187;2000-05-10;EF Education - EasyPost
Darren  Rafferty;Darren; Rafferty;male;Ireland;https://www.instagram.com/darrenrafferty_/;https://www.strava.com/athletes/23336540;null;null;54;1;90;123;108;116;null;null;285;65;176;2003-07-01;EF Education - EasyPost
